"65","21","چایخانه و قهوه خانه",,NULL,"11","active",NULL,NULL,"guilds"
"66","21","جگرکی",,NULL,"12","active",NULL,NULL,"guilds"
"67","21","طباخی، کله پاچه و سیرابی",,NULL,"13","active",NULL,NULL,"guilds"
"68","5","پذیرایی از میهمانان در منزل",,NULL,"1","active",NULL,NULL,"guilds"
"69","5","تالارهای پذیرایی",,NULL,"1","active",NULL,"2022-04-12 11:38:33","guilds"
"70","5","رستوران، چلوکبابی",,NULL,"2","active",NULL,"2022-04-12 11:38:33","guilds"
"71","5","تهیه غذا و کترینگ",,NULL,"3","active",NULL,"2022-04-12 11:38:33","guilds"
"72","5","ظروف کرایه",,NULL,"4","active",NULL,"2022-04-12 11:38:33","guilds"
"73","6","مزون و لباس عروس",,NULL,"3","active",NULL,NULL,"guilds"
"74","6","خیاط",,NULL,"2","active",NULL,NULL,"guilds"
"75","6","سیسمونی",,NULL,"4","active",NULL,NULL,"guilds"
"76","6","لباس کار",,NULL,"5","active",NULL,NULL,"guilds"
"77","6","پارچه",,NULL,"6","active",NULL,NULL,"guilds"
"78","7","ساعت",,NULL,"1","active",NULL,NULL,"guilds"
"79","7","کفش",,NULL,"2","active",NULL,NULL,"guilds"
"80","7","کوله و چمدان",,NULL,"3","active",NULL,NULL,"guilds"
"81","7","کیف، کیف پول",,NULL,"4","active",NULL,NULL,"guilds"
"82","7","عینک غیر طبی",,NULL,"5","active",NULL,NULL,"guilds"
"83","8","طلا و جواهر",,NULL,"1","active",NULL,NULL,"guilds"
"84","8","صرافی",,NULL,"2","active",NULL,NULL,"guilds"
"85","8","سنگهای قیمتی",,NULL,"3","active",NULL,NULL,"guilds"
"86","8","نقره",,NULL,"4","active",NULL,NULL,"guilds"
"87","8","جواهر و زیورآلات بدلی",,NULL,"5","active",NULL,NULL,"guilds"
"88","8","صنایع دستی",,NULL,"6","active",NULL,NULL,"guilds"
"89","8","آثار عتیقه",,NULL,"7","active",NULL,NULL,"guilds"
"90","8","کلکسیون",,NULL,"8","active",NULL,NULL,"guilds"
"91","9","مهد کودک",,NULL,"1","active",NULL,NULL,"office"
"92","9","دبستان و پیش دبستانی",,NULL,"2","active",NULL,NULL,"office"
"93","9","دبیرستان(دوره اول)",,NULL,"3","active",NULL,NULL,"office"
"94","9","دبیرستان(دوره دوم)",,NULL,"4","active",NULL,NULL,"office"
"95","9","مراکز فنی و حرفه ای",,NULL,"5","active",NULL,NULL,"office"
"96","9","کنکور",,NULL,"6","active",NULL,NULL,"office"
"97","9","دانشگاه",,NULL,"8","active",NULL,NULL,"office"
"98","9","کارشناسی ارشد، دکترا",,NULL,"8","active",NULL,NULL,"office"
"99","11","خدمات اداری و حقوقی",,NULL,"4","active",NULL,NULL,"office"
"100","11","بانک و خودپرداز",,NULL,"1","active",NULL,NULL,"office"
"101","11","پلیس و 10+",,NULL,"3","active",NULL,NULL,"office"
"102","11","پیشخوان دولت",,NULL,"2","active",NULL,NULL,"office"
"103","11","بیمه",,NULL,"5","active",NULL,NULL,"office"
"104","11","امور مشترکین موبایل",,NULL,"6","active",NULL,NULL,"office"
"105","10","مسجد",,NULL,"1","active",NULL,NULL,"public_place"
"106","10","نانوایی، نانهای حجیم و فانتزی",,NULL,"2","active",NULL,NULL,"guilds"
"107","10","کتابخانه",,NULL,"3","active",NULL,NULL,"office"
"108","10","سینما",,NULL,"4","active",NULL,NULL,"guilds"
"109","10","تئاتر",,NULL,"5","active",NULL,NULL,"guilds"
"110","10","سرویس های بهداشتی",,NULL,"9","active",NULL,NULL,"public_place"
"111","10","فروشگاه های زنجیره ای",,NULL,"6","active",NULL,NULL,"guilds"
"112","10","مراکز فرهنگی(فرهنگسرا)",,NULL,"7","active",NULL,NULL,"office"
"113","10","بوستان و فضای سبز",,NULL,"8","active",NULL,NULL,"public_place"
"114","12","آزمایشگاه",,NULL,"1","active",NULL,NULL,"office"
"115","12","اورژانس",,NULL,"2","active",NULL,NULL,"office"
"116","12","بیمارستان",,NULL,"3","active",NULL,NULL,"office"
"117","12","داروخانه",,NULL,"4","active",NULL,NULL,"guilds"
"118","12","درمانگاه",,NULL,"5","active",NULL,NULL,"office"
"119","17","لوله و لوله کشی آب و فاضلاب",,NULL,"4","active",NULL,NULL,"guilds"
"120","17","ابزار و یراق آلات",,NULL,"3","active",NULL,NULL,"guilds"
"121","12","دندانپزشکی",,NULL,"6","active",NULL,NULL,"office"
"122","12","رادیولوژی و سونوگرافی",,NULL,"7","active",NULL,NULL,"office"
"123","12","ساختمان پزشکان",,NULL,"8","active",NULL,NULL,"office"
"124","12","عینک و لن‍ز",,NULL,"10","active",NULL,NULL,"guilds"
"125","12","عطاری و گیاهان دارویی",,NULL,"9","active",NULL,NULL,"guilds"
"126","12","فیزیوتراپی",,NULL,"11","active",NULL,NULL,"office"
"127","12","مرکز بهداشت",,NULL,"12","active",NULL,NULL,"office"
"128","12","ترمیم مو و پوست",,NULL,"13","active",NULL,NULL,"office"
"129","12","تزریقات و پانسمان",,NULL,"14","active",NULL,NULL,"office"
"130","12","مراکز مشاوره و روانپزشکی",,NULL,"15","active",NULL,NULL,"office"
"131","15","ورزشگاه ها",,NULL,"1","active",NULL,NULL,"public_place"
"132","15","لباس و کفش ورزشی",,NULL,"2","active",NULL,NULL,"guilds"
"133","15","دستگاه ها و لوازم ورزشی",,NULL,"3","active",NULL,NULL,"guilds"
"134","15","سالن ها و باشگاه های ورزشی",,NULL,"4","active",NULL,NULL,"office"
"135","15","استخر شنا",,NULL,"5","active",NULL,NULL,"guilds"
"136","15","سونا، جکوزی",,NULL,"6","active",NULL,NULL,"guilds"
"137","20","هتل",,NULL,"1","active",NULL,NULL,"guilds"
"138","20","هتل آپارتمان",,NULL,"2","active",NULL,NULL,"guilds"
"139","20","مهمانپذیر",,NULL,"3","active",NULL,NULL,"guilds"
"140","20","مراکز اقامتی",,NULL,"4","active",NULL,NULL,"guilds"
"141","20","آژانس مسافرتی و خدمات تور",,NULL,"5","active",NULL,NULL,"guilds"
"142","20","موسسات توریستی",,NULL,"6","active",NULL,NULL,"guilds"
"143","19","ایستگاه اتوبوس",,NULL,"1","active",NULL,NULL,"public_place"
"144","19","ایستگاه قطار شهری",,NULL,"2","active",NULL,NULL,"public_place"
"145","19","تاکسی تلفنی",,NULL,"3","active",NULL,NULL,"guilds"
"146","19","پمپ بنزین",,NULL,"4","active",NULL,NULL,"public_place"
"147","19","جایگاه CNG",,NULL,"5","active",NULL,NULL,"public_place"
"148","19","حمل و نقل مسافر",,NULL,"6","active",NULL,NULL,"guilds"
"149","19","پیک موتوری",,NULL,"9","active",NULL,NULL,"guilds"
"150","19","حمل و نقل کالا",,NULL,"7","active",NULL,NULL,"guilds"
"151","19","ایستگاه راه آهن",,NULL,"10","active",NULL,NULL,"public_place"
"152","19","انبار و خدمات باربری",,NULL,"8","active",NULL,NULL,"guilds"
"153","19","فرودگاه",,NULL,"11","active",NULL,NULL,"office"
"154","14","لوازم یدکی و تجهیزات",,NULL,"1","active",NULL,NULL,"guilds"
"155","14","نمایندگی و خدمات پس از فروش",,NULL,"2","active",NULL,NULL,"guilds"
"156","14","تعمیرات و خدمات","mdi-icon","شاسی و بدنه,موتور,سیستم هوشمند,برق و باتری,جلو بندی,سوخت رسانی,پالیش، نقاشی و رنگ,تعویض روغن,صافکاری,ترمز و کلاچ,رادیاتورساز,سپر و گلگیر,آهن گری و آهن کشی,پنچرگیری,تنظیم باد","3","active",NULL,"2022-07-28 14:12:58","guilds"
"157","14","گاراژ و پارکینگ",,NULL,"3","active",NULL,NULL,"public_place"
"158","14","شستشوی اتومبیل",,NULL,"5","active",NULL,NULL,"guilds"
"159","14","خرید خودرو",,NULL,"6","active",NULL,NULL,"guilds"
"160","14","فروش خودرو شما",,NULL,"7","active",NULL,NULL,"guilds"
"161","14","نمایشگاه اتومبیل",,NULL,"8","active",NULL,NULL,"guilds"
"162","14","امداد خودرو",,NULL,"9","active",NULL,NULL,"guilds"
"163","14","کرایه اتومبیل",,NULL,"11","active",NULL,NULL,"guilds"
"164","14","موتور سیکلت و دوچرخه",,NULL,"10","active",NULL,NULL,"guilds"
"165","13","وسایل خانگی برقی",,NULL,"1","active",NULL,NULL,"guilds"
"166","13","لوازم فلزی خانگی و آشپزخانه",,NULL,"2","active",NULL,NULL,"guilds"
"167","13","ظروف و لوازم آشپزخانه",,NULL,"3","active",NULL,NULL,"guilds"
"168","13","خدمات و تعمیر لوازم خانگی",,NULL,"4","active",NULL,NULL,"guilds"
"169","18","مشاورین املاک",,NULL,"1","active",NULL,NULL,"guilds"
"170","18","تزیینات داخلی و دکوراسیون",,NULL,"2","active",NULL,NULL,"guilds"
"171","18","مبلمان و تختخواب",,NULL,"3","active",NULL,NULL,"guilds"
"172","18","فرش و موکت",,NULL,"4","active",NULL,NULL,"guilds"
"173","18","پرده و کرکره",,NULL,"5","active",NULL,NULL,"guilds"
"174","18","نظافت منزل",,NULL,"6","active",NULL,NULL,"guilds"
"175","17","تجهیزات ساختمان",,NULL,"1","active",NULL,NULL,"guilds"
"176","17","موزاییک، کاشی و سرامیک",,NULL,"5","active",NULL,NULL,"guilds"
"177","17","لوازم بهداشتی ساختمان",,NULL,"6","active",NULL,NULL,"guilds"
"178","17","رنگ، کاغذ دیواری",,NULL,"16","active",NULL,"2022-07-28 14:23:47","guilds"
"179","17","داربست فلزی",,NULL,"12","active",NULL,"2022-07-28 14:23:31","guilds"
"180","17","فروش آهن آلات",,NULL,"14","active",NULL,"2022-07-28 14:23:47","guilds"
"181","17","اسکلت بندی،آهن کشی و جوشکاری ساختمان",,NULL,"13","active",NULL,"2022-07-28 14:23:43","guilds"
"182","17","سیم کشی و خدمات برق",,NULL,"11","active",NULL,"2022-07-28 14:23:24","guilds"
"183","17","کانال و دریچه کولر",,NULL,"10","active",NULL,NULL,"guilds"
"184","17","کالای برق و الکتریکی",,NULL,"9","active",NULL,NULL,"guilds"
"185","17","نصب و تعمیر لوازم گاز سوز",,NULL,"8","active",NULL,NULL,"guilds"
"186","17","تاسیسات حرارتی و برودتی و تهویه مطبوع",,NULL,"7","active",NULL,NULL,"guilds"
"187","16","آهنگری درب و پنجره",,NULL,"2","active",NULL,NULL,"guilds"
"188","16","تراشکاری، جوشکاری و ریخته گری",,NULL,"1","active",NULL,NULL,"guilds"
"189","16","لوله کشی گاز",,NULL,"3","active",NULL,NULL,"guilds"
"190","16","ماشین آلات ساختمانی، راهسازی",,NULL,"5","active",NULL,NULL,"guilds"
"191","16","ابزارآلات صنعتی",,NULL,"6","active",NULL,NULL,"guilds"
"192","16","خدمات باغبانی و فضای سبز",,NULL,"8","active",NULL,NULL,"guilds"
"193","16","تابلونویس و تابلوساز",,NULL,"7","active",NULL,NULL,"guilds"
"194","16","خدمات چاپ",,NULL,"10","active",NULL,NULL,"guilds"
"195","16","چاپ و تکثیر",,NULL,"12","active",NULL,NULL,"guilds"
"196","16","بازاریابی و تبلیغات",,NULL,"13","active",NULL,NULL,"guilds"
"197","12","کالای طب و تجهیزات پزشکی",,NULL,"16","active",NULL,NULL,"guilds"
"198","3","بازی و سرگرمی",,NULL,"5","active",NULL,NULL,"guilds"
"199","17","پله برقی، آسانسور و بالابر","mdi-icon","پله برقی,آسانسور,بالابر","10","active",NULL,"2022-07-28 14:23:20","guilds"
"203","16","صنف تستی حذفی","mdi-icon","تلفن,تلفن همراه,دفترتلفن,مموری تلفن همراه","50","active","2022-06-28 14:28:44","2022-06-28 14:43:56","guilds"
